"FiberNumber=""PS-212983-1"""								
"OperatorName=""Иванов Иван Иванович"""								
DateTimeMeasurement=2021-12-13 16-28-51-2023								
X_MM	Fi	Diameter	UpPointY_PX	DownPointY_PX			Dср	157,626721
2	85	155,369	787	832				
3	85	155,381	787	832				
4	85	155,286	787	832				
5	85	155,25	787	832				
6	85	155,334	787	832				
0	86	158,7	787	833				
1	86	157,828	787	833				
2	86	155,716	787	832				
3	86	155,322	787	832				
4	86	155,381	787	832				
5	86	155,286	787	832				
6	86	155,381	787	832				
0	87	158,7	787	833				
1	87	158,7	787	833				
2	87	157,578	787	832				
3	87	155,357	787	832				
4	87	155,393	787	832				
5	87	155,334	787	832				
6	87	155,453	787	832				
0	88	155,25	788	833				
1	88	155,322	788	833				
2	88	155,346	788	833				
3	88	155,513	788	833				
4	88	155,465	788	833				
5	88	155,596	787	833				
6	88	156,706	787	833				
0	89	155,25	788	833				
1	89	155,322	788	833				
2	89	155,334	788	833				
3	89	155,513	788	833				
4	89	155,68	788	833				
5	89	156,42	787	833				
6	89	158,187	787	833				
0	90	157,315	788	833				
1	90	155,501	788	833				
2	90	155,346	788	833				
3	90	155,298	788	833				
4	90	155,286	788	833				
5	90	155,334	788	833				
6	90	155,357	788	833				
0	91	155,668	788	833				
1	91	155,393	788	833				
2	91	155,334	788	833				
3	91	155,357	788	833				
4	91	155,31	788	833				
5	91	155,357	788	833				
6	91	155,369	788	833				
0	92	158,7	788	834				
1	92	158,139	788	833				
2	92	155,692	788	833				
3	92	155,298	788	833				
4	92	155,286	788	833				
5	92	155,381	788	833				
6	92	155,334	788	833				
0	93	158,7	788	834				
1	93	158,604	788	833				
2	93	156,945	788	833				
3	93	155,345	788	833				
4	93	155,286	788	833				
5	93	155,405	788	833				
6	93	155,345	788	833				
0	94	158,378	788	834				
1	94	158,748	788	834				
2	94	158,724	788	834				
3	94	157,554	788	833				
4	94	155,465	788	833				
5	94	155,465	788	833				
6	94	155,501	788	833				
0	95	155,25	789	834				
1	95	155,381	789	834				
2	95	157,148	788	834				
3	95	158,318	788	834				
4	95	158,664	788	834				
5	95	158,581	788	834				
6	95	157,864	788	833				
0	96	155,25	789	834				
1	96	155,357	789	834				
2	96	155,346	789	834				
3	96	155,465	788	834				
4	96	156,205	788	834				
5	96	158,593	788	834				
6	96	158,676	788	834				
0	97	155,262	789	834				
1	97	155,393	789	834				
2	97	155,357	789	834				
3	97	155,381	788	834				
4	97	155,429	789	834				
5	97	155,811	789	834				
6	97	158,008	788	834				
0	98	156,42	789	834				
1	98	155,453	789	834				
2	98	155,346	789	834				
3	98	155,346	788	834				
4	98	155,334	789	834				
5	98	155,489	789	834				
6	98	156,241	789	834				
0	99	158,199	789	834				
1	99	155,572	789	834				
2	99	155,346	789	834				
3	99	155,357	788	834				
4	99	155,31	789	834				
5	99	155,548	789	834				
6	99	155,763	789	834				
0	100	158,7	789	835				
1	100	156,36	789	834				
2	100	155,322	789	834				
3	100	155,357	789	834				
4	100	155,322	789	834				
5	100	155,548	789	834				
6	100	155,704	789	834				
0	101	158,7	789	835				
1	101	157,148	789	834				
2	101	155,357	789	834				
3	101	155,393	789	834				
4	101	155,334	789	834				
5	101	155,56	789	834				
6	101	155,739	789	834				
0	102	158,7	789	835				
1	102	158,7	789	835				
2	102	157,984	789	834				
3	102	155,656	789	834				
4	102	155,393	789	834				
5	102	155,632	789	834				
6	102	155,728	789	834				
0	103	158,7	789	835				
1	103	158,7	789	835				
2	103	158,425	789	834				
3	103	155,775	789	834				
4	103	155,429	789	834				
5	103	155,68	789	834				
6	103	155,739	789	834				
0	104	158,533	789	835				
1	104	158,7	789	835				
2	104	158,64	789	835				
3	104	157,53	789	834				
4	104	155,608	789	834				
5	104	155,763	789	834				
6	104	155,799	789	834				
0	105	158,7	789	835				
1	105	158,7	789	835				
2	105	158,688	789	835				
3	105	156,682	789	834				
4	105	155,477	789	834				
5	105	155,716	789	834				
6	105	155,847	789	834				
0	106	157,375	789	835				
1	106	158,712	789	835				
2	106	158,593	789	835				
3	106	158,413	789	834				
4	106	156,026	789	834				
5	106	155,787	789	834				
6	106	155,907	789	834				
0	107	155,345	789	835				
1	107	157,208	790	835				
2	107	158,234	789	835				
3	107	158,784	789	835				
4	107	157,936	789	834				
5	107	155,942	789	834				
6	107	156,074	789	834				
0	108	158,366	789	835				
1	108	158,676	790	835				
2	108	158,712	789	835				
3	108	157,721	789	834				
4	108	155,536	789	834				
5	108	155,859	789	834				
6	108	155,942	789	834				
0	109	158,7	789	835				
1	109	158,7	789	835				
2	109	158,163	789	834				
3	109	155,847	789	834				
4	109	155,393	789	834				
5	109	155,883	789	834				
